Age,Salary,Purchased
54,32729,0
41,23541,0
21,22158,0
57,39176,0
44,32545,0
49,46516,1
41,47494,1
55,32550,0
36,24134,0
45,54111,1
22,58765,0
49,28512,0
34,53463,0
32,46684,0
28,20773,0
27,44855,0
41,48921,1
60,31188,0
48,33235,0
57,50292,1
31,30119,0
39,21892,0
59,27648,0
38,36414,0
21,51260,0
59,43932,1
30,54710,0
36,57994,0
39,22723,0
24,27555,0
29,22443,0
49,30599,0
46,25404,0
52,33877,0
37,22988,0
42,46087,1
26,25550,0
58,25131,0
22,25732,0
53,27497,0
34,22752,0
45,38222,0
43,50299,1
34,48896,0
27,39240,0
41,25008,0
60,34341,0
45,33127,0
59,34843,0
44,45667,1
